display,kana,romaji
hello,hello,hello
goodbye,goodbye,goodbye
morning,morning,morning
afternoon,afternoon,afternoon
evening,evening,evening
night,night,night
thankyou,thankyou,thankyou
please,please,please
sorry,sorry,sorry
welcome,welcome,welcome
student,student,student
teacher,teacher,teacher
school,school,school
class,class,class
lesson,lesson,lesson
study,study,study
practice,practice,practice
homework,homework,homework
schedule,schedule,schedule
result,result,result
start,start,start
end,end,end
open,open,open
close,close,close
check,check,check
confirm,confirm,confirm
finish,finish,finish
continue,continue,continue
prepare,prepare,prepare
submit,submit,submit
information,information,information
question,question,question
answer,answer,answer
problem,problem,problem
solution,solution,solution
example,example,example
method,method,method
system,system,system
status,status,status
process,process,process
computer,computer,computer
keyboard,keyboard,keyboard
mouse,mouse,mouse
monitor,monitor,monitor
printer,printer,printer
software,software,software
hardware,hardware,hardware
network,network,network
internet,internet,internet
browser,browser,browser
email,email,email
account,account,account
password,password,password
login,login,login
logout,logout,logout
security,security,security
backup,backup,backup
update,update,update
download,download,download
upload,upload,upload
file,file,file
folder,folder,folder
save,save,save
delete,delete,delete
copy,copy,copy
paste,paste,paste
setting,setting,setting
option,option,option
error,error,error
message,message,message
server,server,server
client,client,client
cloud,cloud,cloud
database,database,database
access,access,access
permission,permission,permission
connection,connection,connection
disconnect,disconnect,disconnect
performance,performance,performance
response,response,response
program,program,program
code,code,code
source,source,source
compile,compile,compile
execute,execute,execute
debug,debug,debug
function,function,function
variable,variable,variable
constant,constant,constant
array,array,array
object,object,object
class,class,class
method,method,method
argument,argument,argument
return,return,return
condition,condition,condition
loop,loop,loop
logic,logic,logic
syntax,syntax,syntax
exception,exception,exception
framework,framework,framework
library,library,library
module,module,module
package,package,package
version,version,version
release,release,release
repository,repository,repository
commit,commit,commit
branch,branch,branch
merge,merge,merge
office,office,office
company,company,company
business,business,business
document,document,document
report,report,report
meeting,meeting,meeting
contact,contact,contact
support,support,support
service,service,service
request,request,request
approve,approve,approve
reject,reject,reject
progress,progress,progress
deadline,deadline,deadline
priority,priority,priority
complete,complete,complete
success,success,success
