display,kana,romaji
はじめまして,はじめまして,hajimemashite
失礼します,しつれいします,shitsureishimasu
お疲れさまでした,おつかれさまでした,otsukaresamadeshita
了解しました,りょうかいしました,ryoukaishimashita
確認します,かくにんします,kakuninsimasu
入学,にゅうがく,nyuugaku
出願,しゅつがん,shutsugann
合格通知,ごうかくつうち,goukakutsuuchi
学生証,がくせいしょう,gakuseishou
授業開始,じゅぎょうかいし,jugyoukaishi
時間割,じかんわり,jikanwari
出席確認,しゅっせきかくにん,shussekikakuninn
事務局,じむきょく,jimukyoku
書類提出,しょるいていしゅつ,shoruiteishutsu
受付完了,うけつけかんりょう,uketsukekanryou
パソコン,ぱそこん,pasokonn
キーボード,きーぼーど,ki-bo-do
マウス,まうす,mausu
ディスプレイ,でぃすぷれい,dhisupurei
インターネット,いんたーねっと,innta-netto
ウェブサイト,うぇぶさいと,webusaito
ログイン,ろぐいん,roguinn
ログアウト,ろぐあうと,roguauto
アカウント,あかうんと,akaunnto
パスワード,ぱすわーど,pasuwa-do
ファイル保存,ふぁいるほぞん,fairuhozonn
プログラム,ぷろぐらむ,puroguramu
ソースコード,そーすこーど,so-suko-do
エラー,えらー,era-
デバッグ,でばっぐ,debaggu
コンパイル,こんぱいる,konnpairu
変数,へんすう,hensuu
条件分岐,じょうけんぶんき,joukenbunki
繰り返し処理,くりかえししょり,kurikaeshishori
関数呼び出し,かんすうよびだし,kansuuyobidashi
実行結果,じっこうけっか,jikkoukekka
出発,しゅっぱつ,shuppatsu
到着,とうちゃく,touchaku
準備完了,じゅんびかんりょう,junbikanryou
確認中,かくにんちゅう,kakuninchuu
対応中,たいおうちゅう,taiouchuu
再確認,さいかくにん,saikakuninn
問題なし,もんだいなし,mondainashi
修正完了,しゅうせいかんりょう,shuuseikanryou
連絡事項,れんらくじこう,renrakujikou
共有します,きょうゆうします,kyouyuushimasu
作業開始,さぎょうかいし,sagyoukaishi
作業終了,さぎょうしゅうりょう,sagyoushuuryou
本日分,ほんじつぶん,honjitsubunn
明日以降,あしたいこう,ashitaikou
期限厳守,きげんげんしゅ,kigengenshu
提出済み,ていしゅつずみ,teishutsuzumi
未提出,みていしゅつ,miteishutsu
確認待ち,かくにんまち,kakunimmachi
承認済み,しょうにんずみ,shouninzumi
差し戻し,さしもどし,sashimodoshi
願書受付,がんしょうけつけ,ganshouketsuke
入学手続,にゅうがくてつづき,nyuugakutetsuzuki
学籍番号,がくせきばんごう,gakusekibangou
履修登録,りしゅうとうろく,rishuutouroku
成績評価,せいせきひょうか,seisekihyouka
単位取得,たんいしゅとく,tanishutoku
出席率,しゅっせきりつ,shussekiritsu
欠席連絡,けっせきれんらく,kessekirenraku
補講案内,ほこうあんない,hokouannai
休講情報,きゅうこうじょうほう,kyuukoujouhou
就職支援,しゅうしょくしえん,shuushokushienn
企業説明会,きぎょうせつめいかい,kigyousetsumeikai
進路相談,しんろそうだん,shinrosoudann
内定通知,ないていつうち,naiteitsuuchi
卒業要件,そつぎょうようけん,sotsugyouyoukenn
卒業証書,そつぎょうしょうしょ,sotsugyoushousho
証明書発行,しょうめいしょはっこう,shoumeishohakkou
事務手続,じむてつづき,jimutetsuzuki
窓口対応,まどぐちたいおう,madoguchitaiou
問い合わせ対応,といあわせたいおう,toiawasetaiou
電源投入,でんげんとうにゅう,dengentounyuu
再起動,さいきどう,saikidou
シャットダウン,しゃっとだうん,shattodaunn
ユーザー名,ゆーざーめい,yu-za-mei
管理者権限,かんりしゃけんげん,kanrishakengenn
アクセス権,あくせすけん,akusesukenn
共有フォルダ,きょうゆうふぉるだ,kyouyuuforuda
バックアップ,ばっくあっぷ,bakkuappu
復元作業,ふくげんさぎょう,fukugensagyou
更新確認,こうしんかくにん,koushinkakuninn
通信エラー,つうしんえらー,tsuushinera-
接続確認,せつぞくかくにん,setsuzokukakuninn
有線接続,ゆうせんせつぞく,yuusensetsuzoku
無線接続,むせんせつぞく,musensetsuzoku
ブラウザ起動,ぶらうざきどう,burauzakidou
検索結果,けんさくけっか,kensakukekka
履歴削除,りれきさくじょ,rirekisakujo
キャッシュ削除,きゃっしゅさくじょ,kyasshusakujo
セキュリティ更新,せきゅりてぃこうしん,sekyurithikoushin
開発環境,かいはつかんきょう,kaihatsukankyou
実行確認,じっこうかくにん,jikkoukakunin
構文エラー,こうぶんえらー,koubunera-
論理エラー,ろんりえらー,ronriera-
コメントアウト,こめんとあうと,komentoauto
変数宣言,へんすうせんげん,hensuusengen
型指定,かたしてい,katashitei
配列操作,はいれつそうさ,hairetsusousa
条件判定,じょうけんはんてい,joukenhantei
